"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
1,"Amendment 78 (CONSTITUTIONAL) (Vote For 1)","Yes/For","Y",646983,43.03,3885280,1560661,64,64,"0","0"
2,"Amendment 78 (CONSTITUTIONAL) (Vote For 1)","No/Against","N",856704,56.97,3885280,1560661,64,64,"0","0"
3,"Proposition 119 (STATUTORY) (Vote For 1)","Yes/For","Y",701479,45.75,3885280,1560661,64,64,"0","0"
4,"Proposition 119 (STATUTORY) (Vote For 1)","No/Against","N",831670,54.25,3885280,1560661,64,64,"0","0"
5,"Proposition 120 (STATUTORY) (Vote For 1)","Yes/For","Y",652382,42.96,3885280,1560661,64,64,"0","0"
6,"Proposition 120 (STATUTORY) (Vote For 1)","No/Against","N",866197,57.04,3885280,1560661,64,64,"0","0"
7,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Anne Keke","1",19461,20.10,3885280,1560661,2,2,"0","0"
8,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Debbie Gerkin","2",17291,17.86,3885280,1560661,2,2,"0","0"
9,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Danielle Tomwing","3",13485,13.93,3885280,1560661,2,2,"0","0"
10,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Michael Carter","4",17801,18.38,3885280,1560661,2,2,"0","0"
11,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Tramaine Duncan","5",14751,15.23,3885280,1560661,2,2,"0","0"
12,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Christy Cummings","6",14047,14.51,3885280,1560661,2,2,"0","0"
13,"Bennett School District 29J School Director - At-Large - 2 Year Term (Vote For 1)","James DuBois","1",1308,100.00,3885280,1560661,2,2,"0","0"
14,"Bennett School District 29J School Director - At-Large - 4 Year Term (Vote For 2)","Craig Reams","1",757,27.85,3885280,1560661,2,2,"0","0"
15,"Bennett School District 29J School Director - At-Large - 4 Year Term (Vote For 2)","Andrew Thornton","2",959,35.28,3885280,1560661,2,2,"0","0"
16,"Bennett School District 29J School Director - At-Large - 4 Year Term (Vote For 2)","Kyle Meyer","3",1002,36.87,3885280,1560661,2,2,"0","0"
17,"City of Aurora Council Member - At-Large (Vote For 2)","Candice Bailey","1",22903,18.19,3885280,1560661,3,3,"0","0"
18,"City of Aurora Council Member - At-Large (Vote For 2)","Hanna Bogale","2",9010,7.15,3885280,1560661,3,3,"0","0"
19,"City of Aurora Council Member - At-Large (Vote For 2)","Becky Hogan","3",15336,12.18,3885280,1560661,3,3,"0","0"
20,"City of Aurora Council Member - At-Large (Vote For 2)","Danielle Jurinsky","4",26235,20.83,3885280,1560661,3,3,"0","0"
21,"City of Aurora Council Member - At-Large (Vote For 2)","John Ronquillo","5",23716,18.83,3885280,1560661,3,3,"0","0"
22,"City of Aurora Council Member - At-Large (Vote For 2)","Dustin Zvonek","6",28744,22.82,3885280,1560661,3,3,"0","0"
23,"City of Aurora Council Member - Ward I (Vote For 1)","Bill Gondrez","1",1936,36.09,3885280,1560661,2,2,"0","0"
24,"City of Aurora Council Member - Ward I (Vote For 1)","Scott Liva","2",434,8.09,3885280,1560661,2,2,"0","0"
25,"City of Aurora Council Member - Ward I (Vote For 1)","Crystal Murillo","3",2995,55.82,3885280,1560661,2,2,"0","0"
26,"City of Aurora Council Member - Ward II (Vote For 1)","Jessica Giammalvo","1",1071,10.35,3885280,1560661,2,2,"0","0"
27,"City of Aurora Council Member - Ward II (Vote For 1)","Robert Hamilton III","2",569,5.50,3885280,1560661,2,2,"0","0"
28,"City of Aurora Council Member - Ward II (Vote For 1)","Bryan Lindstrom","3",3766,36.41,3885280,1560661,2,2,"0","0"
29,"City of Aurora Council Member - Ward II (Vote For 1)","Steve Sundberg","4",4938,47.74,3885280,1560661,2,2,"0","0"
30,"City of Aurora Council Member - Ward III (Vote For 1)","Ruben L. Medina","1",4180,50.78,3885280,1560661,1,1,"0","0"
31,"City of Aurora Council Member - Ward III (Vote For 1)","Jono Scott","2",4052,49.22,3885280,1560661,1,1,"0","0"
32,"City of Littleton Ballot Issue 3A (Vote For 1)","Yes/For","Y",8651,58.81,3885280,1560661,3,3,"0","0"
33,"City of Littleton Ballot Issue 3A (Vote For 1)","No/Against","N",6058,41.19,3885280,1560661,3,3,"0","0"
34,"City of Littleton Council Member - At-Large (Vote For 1)","Gretchen Rydin","1",7139,52.89,3885280,1560661,3,3,"0","0"
35,"City of Littleton Council Member - At-Large (Vote For 1)","Krista Kafer","2",6358,47.11,3885280,1560661,3,3,"0","0"
36,"City of Littleton Council Member - District I (Vote For 1)","Candice Ferguson","1",1441,49.21,3885280,1560661,1,1,"0","0"
37,"City of Littleton Council Member - District I (Vote For 1)","Patrick Driscoll","2",1487,50.79,3885280,1560661,1,1,"0","0"
38,"City of Littleton Council Member - District III (Vote For 1)","Paul Bingham","1",1793,43.27,3885280,1560661,2,2,"0","0"
39,"City of Littleton Council Member - District III (Vote For 1)","Stephen Barr","2",2351,56.73,3885280,1560661,2,2,"0","0"
40,"City of Littleton Mayor (Vote For 1)","Kyle Schlachter","1",6745,48.26,3885280,1560661,3,3,"0","0"
41,"City of Littleton Mayor (Vote For 1)","Carol Fey","2",2850,20.39,3885280,1560661,3,3,"0","0"
42,"City of Littleton Mayor (Vote For 1)","Jon Buck","3",4380,31.34,3885280,1560661,3,3,"0","0"
43,"Strasburg Fire Protection District No. 8 Ballot Issue 7A (Vote For 1)","Yes/For","Y",1047,58.23,3885280,1560661,2,2,"0","0"
44,"Strasburg Fire Protection District No. 8 Ballot Issue 7A (Vote For 1)","No/Against","N",751,41.77,3885280,1560661,2,2,"0","0"
45,"Strasburg School District 31J School Board Director (Vote For 2)","Julie Winter","1",796,28.83,3885280,1560661,2,2,"0","0"
46,"Strasburg School District 31J School Board Director (Vote For 2)","Ruth Gonzalez-Alvarado","2",530,19.20,3885280,1560661,2,2,"0","0"
47,"Strasburg School District 31J School Board Director (Vote For 2)","Marilyn Diedrich","3",696,25.21,3885280,1560661,2,2,"0","0"
48,"Strasburg School District 31J School Board Director (Vote For 2)","Daymon Johnson","4",739,26.77,3885280,1560661,2,2,"0","0"
49,"Bayfield School District 10 Jt-R Director (Vote For 2)","Rebecca Parnell","1",1278,27.30,3885280,1560661,2,2,"0","0"
50,"Bayfield School District 10 Jt-R Director (Vote For 2)","Kira Charlotte Wennerstrom","2",832,17.77,3885280,1560661,2,2,"0","0"
51,"Bayfield School District 10 Jt-R Director (Vote For 2)","Jill M. Shocklee","3",1198,25.59,3885280,1560661,2,2,"0","0"
52,"Bayfield School District 10 Jt-R Director (Vote For 2)","Matt Turner","4",1373,29.33,3885280,1560661,2,2,"0","0"
53,"Ignacio School District 11-JT Director - 2 Year Term (Vote For 1)","Jay Dee Brunson","1",973,100.00,3885280,1560661,2,2,"0","0"
54,"Ignacio School District 11-JT Director - 4 Year Term (Vote For 2)","Leila C. Baker","1",683,33.14,3885280,1560661,2,2,"0","0"
55,"Ignacio School District 11-JT Director - 4 Year Term (Vote For 2)","Lee Petty","2",522,25.33,3885280,1560661,2,2,"0","0"
56,"Ignacio School District 11-JT Director - 4 Year Term (Vote For 2)","James (Jim) Bulwan","3",856,41.53,3885280,1560661,2,2,"0","0"
57,"Adams 12 Five Star Schools School Director - District 3 (Vote For 1)","Courtney Potter","1",17316,40.44,3885280,1560661,2,2,"0","0"
58,"Adams 12 Five Star Schools School Director - District 3 (Vote For 1)","Jackson Dreiling","2",17174,40.11,3885280,1560661,2,2,"0","0"
59,"Adams 12 Five Star Schools School Director - District 3 (Vote For 1)","Russell E. Farmer","3",8331,19.46,3885280,1560661,2,2,"0","0"
60,"Adams 12 Five Star Schools School Director - District 4 (Vote For 1)","Amira Assad-Lucas","1",31489,100.00,3885280,1560661,2,2,"0","0"
61,"Boulder Valley School District RE-2 Director - District B (Vote For 1)","Nicole Rajpal","1",40217,75.13,3885280,1560661,3,3,"0","0"
62,"Boulder Valley School District RE-2 Director - District B (Vote For 1)","William Hamilton","2",13315,24.87,3885280,1560661,3,3,"0","0"
63,"Boulder Valley School District RE-2 Director - District E (Vote For 1)","Beth Niznik","1",24194,42.39,3885280,1560661,3,3,"0","0"
64,"Boulder Valley School District RE-2 Director - District E (Vote For 1)","Deann E. Bucher","2",21521,37.71,3885280,1560661,3,3,"0","0"
65,"Boulder Valley School District RE-2 Director - District E (Vote For 1)","Kara Awaitha Frost","3",11360,19.90,3885280,1560661,3,3,"0","0"
66,"Boulder Valley School District RE-2 Director - District F (Vote For 1)","Kitty Sargent","1",46827,100.00,3885280,1560661,3,3,"0","0"
67,"Brighton School District 27J Board of Education Director - District 2 (Vote For 1)","Leon Thornton","1",11179,51.85,3885280,1560661,3,3,"0","0"
68,"Brighton School District 27J Board of Education Director - District 2 (Vote For 1)","Danielle Jayne","2",10383,48.15,3885280,1560661,3,3,"0","0"
69,"Brighton School District 27J Board of Education Director - District 4 (Vote For 1)","Blaine Nickeson","1",9950,45.96,3885280,1560661,3,3,"0","0"
70,"Brighton School District 27J Board of Education Director - District 4 (Vote For 1)","Ashley Conn","2",11701,54.04,3885280,1560661,3,3,"0","0"
71,"Brighton School District 27J Board of Education Director - District 5 (Vote For 1)","Rene Beach","1",9852,46.08,3885280,1560661,3,3,"0","0"
72,"Brighton School District 27J Board of Education Director - District 5 (Vote For 1)","Mandy J. Thomas","2",11528,53.92,3885280,1560661,3,3,"0","0"
73,"Jefferson County School District R-1 Director - District 1 (Vote For 1)","Jeffrey Wilhite","1",68854,41.44,3885280,1560661,2,2,"0","0"
74,"Jefferson County School District R-1 Director - District 1 (Vote For 1)","Danielle Varda","2",97287,58.56,3885280,1560661,2,2,"0","0"
75,"Jefferson County School District R-1 Director - District 2 (Vote For 1)","David C. Johnson","1",19246,11.65,3885280,1560661,2,2,"0","0"
76,"Jefferson County School District R-1 Director - District 2 (Vote For 1)","Theresa Shelton","2",62993,38.13,3885280,1560661,2,2,"0","0"
77,"Jefferson County School District R-1 Director - District 2 (Vote For 1)","Paula Reed","3",82980,50.22,3885280,1560661,2,2,"0","0"
78,"Jefferson County School District R-1 Director - District 5 (Vote For 1)","Kathy Miks","1",73540,44.61,3885280,1560661,2,2,"0","0"
79,"Jefferson County School District R-1 Director - District 5 (Vote For 1)","Mary Parker","2",91307,55.39,3885280,1560661,2,2,"0","0"
80,"St. Vrain Valley School District RE-1J Board of Education Director - District B (Vote For 1)","Karen Ragland","1",34147,100.00,3885280,1560661,4,4,"0","0"
81,"St. Vrain Valley School District RE-1J Board of Education Director - District D (Vote For 1)","Meosha Brooks","1",27905,100.00,3885280,1560661,4,4,"0","0"
82,"St. Vrain Valley School District RE-1J Board of Education Director - District F (Vote For 1)","Natalie Abshier","1",17788,41.82,3885280,1560661,4,4,"0","0"
83,"St. Vrain Valley School District RE-1J Board of Education Director - District F (Vote For 1)","Sarah Hurianek","2",24748,58.18,3885280,1560661,4,4,"0","0"
84,"Aims College District Trustee - District C (Vote For 1)","Marilyn Schock","1",15860,43.25,3885280,1560661,5,5,"0","0"
85,"Aims College District Trustee - District C (Vote For 1)","Ryan P. Smith","2",9214,25.13,3885280,1560661,5,5,"0","0"
86,"Aims College District Trustee - District C (Vote For 1)","Carl A. Alm","3",11596,31.62,3885280,1560661,5,5,"0","0"
87,"Aims College District Trustee - District D (Vote For 1)","Gene O'Hara","1",30846,100.00,3885280,1560661,5,5,"0","0"
88,"Brighton School District 27J Ballot Issue 5A (Vote For 1)","Yes/For","Y",12563,48.24,3885280,1560661,3,3,"0","0"
89,"Brighton School District 27J Ballot Issue 5A (Vote For 1)","No/Against","N",13479,51.76,3885280,1560661,3,3,"0","0"
90,"Brighton School District 27J Ballot Issue 5B (Vote For 1)","Yes/For","Y",13532,52.18,3885280,1560661,3,3,"0","0"
91,"Brighton School District 27J Ballot Issue 5B (Vote For 1)","No/Against","N",12401,47.82,3885280,1560661,3,3,"0","0"
92,"Fremont School District RE-2 Director - At-Large (Vote For 2)","Andrew Dalton","1",955,18.01,3885280,1560661,3,3,"0","0"
93,"Fremont School District RE-2 Director - At-Large (Vote For 2)","Karleigh Purcell","2",1183,22.31,3885280,1560661,3,3,"0","0"
94,"Fremont School District RE-2 Director - At-Large (Vote For 2)","David Wood","3",1953,36.84,3885280,1560661,3,3,"0","0"
95,"Fremont School District RE-2 Director - At-Large (Vote For 2)","Andy Franklin","4",1211,22.84,3885280,1560661,3,3,"0","0"
96,"Dolores County School District RE-2J Director - District D (Vote For 1)","Chase Davis","1",495,100.00,3885280,1560661,2,2,"0","0"
97,"Dolores County School District RE-2J Ballot Issue 5A (Vote For 1)","Yes/For","Y",523,60.11,3885280,1560661,2,2,"0","0"
98,"Dolores County School District RE-2J Ballot Issue 5A (Vote For 1)","No/Against","N",347,39.89,3885280,1560661,2,2,"0","0"
99,"Dolores County School District RE-2J Ballot Issue 5B (Vote For 1)","Yes/For","Y",368,42.30,3885280,1560661,2,2,"0","0"
100,"Dolores County School District RE-2J Ballot Issue 5B (Vote For 1)","No/Against","N",502,57.70,3885280,1560661,2,2,"0","0"
101,"Eagle County School District RE-50J School Board Director - District A (Vote For 1)","Andrew Keiser","1",4176,36.37,3885280,1560661,3,3,"0","0"
102,"Eagle County School District RE-50J School Board Director - District A (Vote For 1)","Kelly Alter","2",7307,63.63,3885280,1560661,3,3,"0","0"
103,"Eagle County School District RE-50J School Board Director - District B (Vote For 1)","Lelia Conlin","1",7454,67.44,3885280,1560661,3,3,"0","0"
104,"Eagle County School District RE-50J School Board Director - District B (Vote For 1)","Kyla Sink","2",3599,32.56,3885280,1560661,3,3,"0","0"
105,"Eagle County School District RE-50J School Board Director - District E (Vote For 1)","Heather Bergquist","1",4159,35.70,3885280,1560661,3,3,"0","0"
106,"Eagle County School District RE-50J School Board Director - District E (Vote For 1)","Juan Peña","2",7490,64.30,3885280,1560661,3,3,"0","0"
107,"Eagle County School District RE-50J School Board Director - District F (Vote For 1)","Michelle Hartel Stecher","1",8565,100.00,3885280,1560661,3,3,"0","0"
108,"Eagle County School District RE-50J School Board Director - District G (Vote For 1)","Dan Reynolds","1",7894,70.14,3885280,1560661,3,3,"0","0"
109,"Eagle County School District RE-50J School Board Director - District G (Vote For 1)","Susan Cunningham","2",3361,29.86,3885280,1560661,3,3,"0","0"
110,"Roaring Fork School District RE-1 Board of Education School Director - District A (Vote For 1)","Kenneth ''Kenny'' Teitler","1",7127,74.65,3885280,1560661,3,3,"0","0"
111,"Roaring Fork School District RE-1 Board of Education School Director - District A (Vote For 1)","Chase McWhorter","2",2420,25.35,3885280,1560661,3,3,"0","0"
112,"Roaring Fork School District RE-1 Board of Education School Director - District E (Vote For 1)","Kathryn Kuhlenberg","1",6858,79.25,3885280,1560661,3,3,"0","0"
113,"Roaring Fork School District RE-1 Board of Education School Director - District E (Vote For 1)","Steven G. Fotion","2",1796,20.75,3885280,1560661,3,3,"0","0"
114,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Shawn Lechman","1",619,15.10,3885280,1560661,2,2,"0","0"
115,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","H. Lee Bruchez","2",581,14.18,3885280,1560661,2,2,"0","0"
116,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Gordon Stuart Heller","3",401,9.79,3885280,1560661,2,2,"0","0"
117,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Brad Probst","4",495,12.08,3885280,1560661,2,2,"0","0"
118,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Mitch Lockhart","5",596,14.54,3885280,1560661,2,2,"0","0"
119,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Ralph Graves","6",163,3.98,3885280,1560661,2,2,"0","0"
120,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Jackie Roppel","7",431,10.52,3885280,1560661,2,2,"0","0"
121,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Wes Howell","8",269,6.56,3885280,1560661,2,2,"0","0"
122,"West Grand School District 1-Jt Board of Education Candidates (Vote For 5)","Bryan Klotz","9",543,13.25,3885280,1560661,2,2,"0","0"
123,"Town of Basalt Ballot Issue 3A (Vote For 1)","Yes/For","Y",939,71.03,3885280,1560661,2,2,"0","0"
124,"Town of Basalt Ballot Issue 3A (Vote For 1)","No/Against","N",383,28.97,3885280,1560661,2,2,"0","0"
125,"Roaring Fork School District RE-1 Ballot Issue 5B (Vote For 1)","Yes/For","Y",7976,69.03,3885280,1560661,3,3,"0","0"
126,"Roaring Fork School District RE-1 Ballot Issue 5B (Vote For 1)","No/Against","N",3579,30.97,3885280,1560661,3,3,"0","0"
127,"West Grand School District 1-Jt Ballot Issue 5A (Vote For 1)","Yes/For","Y",523,50.43,3885280,1560661,2,2,"0","0"
128,"West Grand School District 1-Jt Ballot Issue 5A (Vote For 1)","No/Against","N",514,49.57,3885280,1560661,2,2,"0","0"
129,"Big Sandy School District 100J Director (Vote For 2)","Chad Maranville","1",370,44.69,3885280,1560661,2,2,"0","0"
130,"Big Sandy School District 100J Director (Vote For 2)","Daniel Brown","2",134,16.18,3885280,1560661,2,2,"0","0"
131,"Big Sandy School District 100J Director (Vote For 2)","Greg Mitchell","3",324,39.13,3885280,1560661,2,2,"0","0"
132,"Peyton School District 23JT Director (Vote For 3)","Kelli Markus","1",633,32.41,3885280,1560661,2,2,"0","0"
133,"Peyton School District 23JT Director (Vote For 3)","Julie Mannering","2",725,37.12,3885280,1560661,2,2,"0","0"
134,"Peyton School District 23JT Director (Vote For 3)","Buffi Cavanagh","3",595,30.47,3885280,1560661,2,2,"0","0"
135,"Peyton School District 23JT Ballot Issue 5A (Vote For 1)","Yes/For","Y",885,61.50,3885280,1560661,2,2,"0","0"
136,"Peyton School District 23JT Ballot Issue 5A (Vote For 1)","No/Against","N",554,38.50,3885280,1560661,2,2,"0","0"
137,"Douglas County School District Re 1 School Board Director - District B (Vote For 1)","Mike Peterson","1",67460,56.30,3885280,1560661,2,2,"0","0"
138,"Douglas County School District Re 1 School Board Director - District B (Vote For 1)","Juli Watkins","2",52369,43.70,3885280,1560661,2,2,"0","0"
139,"Douglas County School District Re 1 School Board Director - District D (Vote For 1)","Ruby Martinez","1",49845,41.66,3885280,1560661,2,2,"0","0"
140,"Douglas County School District Re 1 School Board Director - District D (Vote For 1)","Justin V. Mathew","2",4800,4.01,3885280,1560661,2,2,"0","0"
141,"Douglas County School District Re 1 School Board Director - District D (Vote For 1)","Becky Myers","3",65009,54.33,3885280,1560661,2,2,"0","0"
142,"Douglas County School District Re 1 School Board Director - District E (Vote For 1)","Kevin Leung","1",54474,45.47,3885280,1560661,2,2,"0","0"
143,"Douglas County School District Re 1 School Board Director - District E (Vote For 1)","Christy Williams","2",65334,54.53,3885280,1560661,2,2,"0","0"
144,"Douglas County School District Re 1 School Board Director - District G (Vote For 1)","Krista Holtzmann","1",53850,44.99,3885280,1560661,2,2,"0","0"
145,"Douglas County School District Re 1 School Board Director - District G (Vote For 1)","Kaylee Winegar","2",65838,55.01,3885280,1560661,2,2,"0","0"
146,"Limon School District RE-4J Director - 2 Year Term (Vote For 1)","Erin Mellott","1",341,44.93,3885280,1560661,2,2,"0","0"
147,"Limon School District RE-4J Director - 2 Year Term (Vote For 1)","Ryan Frasier","2",418,55.07,3885280,1560661,2,2,"0","0"
148,"Limon School District RE-4J Director - 4 Year Term (Vote For 3)","Joy Johnson","1",166,8.25,3885280,1560661,2,2,"0","0"
149,"Limon School District RE-4J Director - 4 Year Term (Vote For 3)","Aaron Head","2",482,23.97,3885280,1560661,2,2,"0","0"
150,"Limon School District RE-4J Director - 4 Year Term (Vote For 3)","Jacob Herrera","3",506,25.16,3885280,1560661,2,2,"0","0"
151,"Limon School District RE-4J Director - 4 Year Term (Vote For 3)","Amy Perry","4",490,24.37,3885280,1560661,2,2,"0","0"
152,"Limon School District RE-4J Director - 4 Year Term (Vote For 3)","Stephanie Denne","5",367,18.25,3885280,1560661,2,2,"0","0"
153,"Salida School District R-32-J Board of Education Director - At-Large (Vote For 1)","Jeannie L. Peters","1",3009,100.00,3885280,1560661,2,2,"0","0"
154,"Salida School District R-32-J Board of Education Director - District 1 (Vote For 1)","Carrie Coscarella-Mattix","1",2958,100.00,3885280,1560661,2,2,"0","0"
155,"Salida School District R-32-J Board of Education Director - District 2 (Vote For 1)","Abby Jefferson","1",1552,35.13,3885280,1560661,2,2,"0","0"
156,"Salida School District R-32-J Board of Education Director - District 2 (Vote For 1)","Jodi Breckenridge Petit","2",2866,64.87,3885280,1560661,2,2,"0","0"
157,"Salida School District R-32-J Board of Education Director - District 3 (Vote For 1)","Mandy Paschall","1",3193,100.00,3885280,1560661,2,2,"0","0"
158,"Salida School District R-32-J Board of Education Director - District 4 (Vote For 1)","Joseph Smith","1",2856,66.22,3885280,1560661,2,2,"0","0"
159,"Salida School District R-32-J Board of Education Director - District 4 (Vote For 1)","Catherine Rich","2",1457,33.78,3885280,1560661,2,2,"0","0"
160,"Delta County School District 50J Board of Education Director - District 1 (Vote For 1)","Kristina Hines","1",4508,52.94,3885280,1560661,3,3,"0","0"
